,0,Open,High,Low,Close,Adj Close,Volume,pointpos
2023-12-11 00:00:00+00:00,0,1.0770059823989868,1.07758629322052,1.0768898725509644,1.077470064163208,1.077470064163208,0.0,
2023-12-11 01:00:00+00:00,0,1.07758629322052,1.07758629322052,1.0771219730377197,1.0771219730377197,1.0771219730377197,0.0,
2023-12-11 02:00:00+00:00,0,1.0768898725509644,1.0771219730377197,1.076774001121521,1.0768898725509644,1.0768898725509644,0.0,
2023-12-11 03:00:00+00:00,0,1.0768898725509644,1.0771219730377197,1.076658010482788,1.076774001121521,1.076774001121521,0.0,
2023-12-11 04:00:00+00:00,0,1.076774001121521,1.076774001121521,1.0764262676239014,1.076658010482788,1.076658010482788,0.0,
2023-12-11 05:00:00+00:00,0,1.0765421390533447,1.0771219730377197,1.0765421390533447,1.0771219730377197,1.0771219730377197,0.0,
2023-12-11 06:00:00+00:00,0,1.0771219730377197,1.0773539543151855,1.0770059823989868,1.0772379636764526,1.0772379636764526,0.0,
2023-12-11 07:00:00+00:00,0,1.0770059823989868,1.0772379636764526,1.0757315158843994,1.0758472681045532,1.0758472681045532,0.0,
2023-12-11 08:00:00+00:00,0,1.0757315158843994,1.0773539543151855,1.0755001306533813,1.076774001121521,1.076774001121521,0.0,
2023-12-11 09:00:00+00:00,0,1.076774001121521,1.0771219730377197,1.0761945247650146,1.0768898725509644,1.0768898725509644,0.0,
2023-12-11 10:00:00+00:00,0,1.0771219730377197,1.0781670808792114,1.0771219730377197,1.077702283859253,1.077702283859253,0.0,
2023-12-11 11:00:00+00:00,0,1.07758629322052,1.0780508518218994,1.076658010482788,1.0772379636764526,1.0772379636764526,0.0,
2023-12-11 12:00:00+00:00,0,1.0771219730377197,1.0773539543151855,1.0758472681045532,1.076310396194458,1.076310396194458,0.0,
2023-12-11 13:00:00+00:00,0,1.076310396194458,1.0768898725509644,1.0757315158843994,1.076774001121521,1.076774001121521,0.0,
2023-12-11 14:00:00+00:00,0,1.0765421390533447,1.0765421390533447,1.0746910572052002,1.0756157636642456,1.0756157636642456,0.0,
2023-12-11 15:00:00+00:00,0,1.0755001306533813,1.0761945247650146,1.0744600296020508,1.0746910572052002,1.0746910572052002,0.0,
2023-12-11 16:00:00+00:00,0,1.0746910572052002,1.0752688646316528,1.0746910572052002,1.0749220848083496,1.0749220848083496,0.0,
2023-12-11 17:00:00+00:00,0,1.0749220848083496,1.0758472681045532,1.0746910572052002,1.0746910572052002,1.0746910572052002,0.0,
